run,dataset,num_neighbors,removal,pqr,all_data_hamm_loss,all_data_zero_loss,removed_data_hamm_loss,removed_data_zero_loss
0,Family,10,60,1_0_0,0.531078107810781,1,0.52880658436214,1
0,Family,15,60,1_0_0,0.533828382838284,1,0.532921810699588,1
0,Family,20,60,1_0_0,0.528327832783278,1,0.525377229080933,1
0,Family,25,60,1_0_0,0.539328932893289,1,0.539437585733882,1
0,Family,5,60,1_1_1,0.485423542354235,1,0.505144032921811,1
0,Family,10,60,1_1_1,0.49037403740374,1,0.508573388203018,1
0,Family,15,60,1_1_1,0.490649064906491,1,0.507544581618656,1
0,Family,20,60,1_1_1,0.484873487348735,1,0.503772290809328,1
0,Family,25,60,1_1_1,0.487623762376238,1,0.505486968449931,1
0,Family,5,65,0_0_0,0.350660066006601,1,0.375992063492063,1
0,Family,10,65,0_0_0,0.350935093509351,1,0.375992063492063,1
0,Family,15,65,0_0_0,0.353135313531353,1,0.378637566137566,1
0,Family,20,65,0_0_0,0.352585258525853,1,0.377314814814815,1
0,Family,25,65,0_0_0,0.353685368536854,1,0.378306878306878,1
0,Family,5,65,0_0_1,0.3003300330033,1,0.326388888888889,1
0,Family,10,65,0_0_1,0.286853685368537,1,0.313161375661376,1
0,Family,15,65,0_0_1,0.282453245324532,1,0.307208994708995,1
0,Family,20,65,0_0_1,0.282728272827283,1,0.308201058201058,1
0,Family,25,65,0_0_1,0.275577557755776,1,0.298611111111111,1
0,Family,5,65,0_1_0,0.315731573157316,1,0.338955026455026,1
0,Family,10,65,0_1_0,0.30995599559956,0.995049504950495,0.333333333333333,1
0,Family,15,65,0_1_0,0.3003300330033,0.995049504950495,0.322420634920635,1
0,Family,20,65,0_1_0,0.295654565456546,1,0.318121693121693,1
0,Family,25,65,0_1_0,0.303355335533553,1,0.32771164021164,1
0,Family,5,65,1_0_0,0.501100110011001,1,0.500330687830688,1
0,Family,10,65,1_0_0,0.503575357535754,1,0.502645502645503,1
0,Family,15,65,1_0_0,0.508800880088009,1,0.511574074074074,1
0,Family,20,65,1_0_0,0.503025302530253,1,0.503968253968254,1
0,Family,25,65,1_0_0,0.511826182618262,1,0.514880952380952,1
0,Family,5,65,1_1_1,0.480748074807481,1,0.488425925925926,1
0,Family,10,65,1_1_1,0.468646864686469,1,0.480489417989418,1
0,Family,15,65,1_1_1,0.486523652365237,1,0.500661375661376,1
0,Family,20,65,1_1_1,0.471397139713971,1,0.485780423280423,1
0,Family,25,65,1_1_1,0.481573157315732,1,0.491071428571429,1
0,Family,5,70,0_0_0,0.349284928492849,1,0.37015873015873,1
0,Family,10,70,0_0_0,0.352585258525853,1,0.374603174603175,1
0,Family,15,70,0_0_0,0.353135313531353,1,0.374603174603175,1
0,Family,20,70,0_0_0,0.354785478547855,1,0.376507936507936,1
0,Family,25,70,0_0_0,0.355335533553355,1,0.377142857142857,1
0,Family,5,70,0_0_1,0.318481848184818,0.995049504950495,0.34031746031746,0.994285714285714
0,Family,10,70,0_0_1,0.323707370737074,1,0.345714285714286,1
